State,District,University Type,University Name,University_Name_Cleaned,University ID,College Name,College_Name_Cleaned,College Id,College Type,Address,Website,Management,Year of Establishment,Specialised in,Location,Upload Year,The Institute Added In Survey Year,Location_Cleaned,Management_Cleaned,Segregation_type,Year_of_Establishment_cleaned
Uttar Pradesh,Fatehpur,State Public University,"Professor Rajendra Singh (Rajju Bhaiya) University, Prayagraj, Uttar Pradesh (Id: U-0849)","Professor Rajendra Singh (Rajju Bhaiya) University, Prayagraj, Uttar Pradesh",U-0849,"SRI JAGDAMBA PRASAD MAHILA MAHAVIDYALAYA, (Id: C-12391)","SRI JAGDAMBA PRASAD MAHILA MAHAVIDYALAYA,",C-12391,Affiliated College,VILL MAUDEV POST SULTANGARH,www.shrijagdamba.org,Private Un-Aided,2007,No,Rural,2019,2010,Rural,Private Un-Aided,Private,2007
Uttar Pradesh,Mirzapur,State Public University,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Mahatma Gandhi Kashi Vidyapeeth, Varanasi",U-0527,"Ram Suresh Singh Mahavidyalaya, Mirzapur (Id: C-51164)","Ram Suresh Singh Mahavidyalaya, Mirzapur",C-51164,Affiliated College,"DIXITPUR (SHIVSHANKARIDHAM), PACHEWARA, NARAYANPUR, CHUNAR, MIRZAPUR",ramsureshsinghmahavidyalaya.in,Private Un-Aided,2014,No,Rural,2020,2014,Rural,Private Un-Aided,Private,2014
Uttar Pradesh,Mau,State Public University,"Veer Bahadur Singh Purvanchal University, Jaunpur (Id: U-0550)","Veer Bahadur Singh Purvanchal University, Jaunpur",U-0550,BABA VEER BAHADUR RAMNATH MAHAVIDYALAYA PILAKHI VARUNA MAU (Id: C-65187),BABA VEER BAHADUR RAMNATH MAHAVIDYALAYA PILAKHI VARUNA MAU,C-65187,Affiliated College,"Pilkhi , Varuna, ",,Private Un-Aided,2020,No,Rural,2020,2020,Rural,Private Un-Aided,Private,2020
Uttar Pradesh,Mirzapur,State Public University,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Mahatma Gandhi Kashi Vidyapeeth, Varanasi",U-0527,MAA SHANTI DEVI MAHAVIDYALAYA  (Id: C-56479),MAA SHANTI DEVI MAHAVIDYALAYA,C-56479,Affiliated College,"Bagheda Niyamatpur Kalan Marg, Chunar Mirzapur, Mirzapur",,Private Un-Aided,2016,No,Rural,2020,2016,Rural,Private Un-Aided,Private,2016
Uttar Pradesh,Lucknow,State Public University,UNIVERSITY OF LUCKNOW (Id: U-0524),UNIVERSITY OF LUCKNOW,U-0524,EXON MONTESSORI GIRLS DEGREE COLLEGE (Id: C-54312),EXON MONTESSORI GIRLS DEGREE COLLEGE,C-54312,Affiliated College,"campbell road post chowk, lucknow",exoncolleges.org,Private Un-Aided,2015,No,Urban,2020,2015,Urban,Private Un-Aided,Private,2015
Uttar Pradesh,Mathura,State Public University,"Dr. B. R. Ambedkar University, Agra (Id: U-0509)","Dr. B. R. Ambedkar University, Agra",U-0509,LOKMANI SHARMA SWATANTRATA SANGRAM SENANI GOVERNMENT DEGREE COLLEGE MANT MATHURA  (Id: C-15436),LOKMANI SHARMA SWATANTRATA SANGRAM SENANI GOVERNMENT DEGREE COLLEGE MANT MATHURA,C-15436,Affiliated College,"MANT, MATHURA",www.gdcmant.in,State Government,2003,No,Rural,2020,2010,Rural,State Government,Government,2003
Uttar Pradesh,Banda,State Public University,"Bundelkhand University,  Jhansi (Id: U-0502)","Bundelkhand University, Jhansi",U-0502,RAJADEVI DEGREE COLLEGE                 (Id: C-22595),RAJADEVI DEGREE COLLEGE,C-22595,Affiliated College,"Naraini Road Banda, District Banda, Banda",rddcbanda.in,Private Un-Aided,2007,No,Rural,2020,2010,Rural,Private Un-Aided,Private,2007
Uttar Pradesh,Mirzapur,State Public University,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)","Mahatma Gandhi Kashi Vidyapeeth, Varanasi",U-0527,HAR HAR MAHADEV MAHILA SHIKSHAN SANSTHAN MATHANA CHUNAR MIRZAPUR (Id: C-63808),HAR HAR MAHADEV MAHILA SHIKSHAN SANSTHAN MATHANA CHUNAR MIRZAPUR,C-63808,Affiliated College,,,,,,,NO,2019,Not Defined,Not Defined,Not Defined,Not Defined
Uttar Pradesh,Barabanki,State Public University,"Dr. Ram Manohar Lohia  Awadh University, Faizabad (Id: U-0510)","Dr. Ram Manohar Lohia Awadh University, Faizabad",U-0510,Phoolmati Institute (Id: C-52976),Phoolmati Institute,C-52976,Affiliated College,"DULHADEPUR, TICKETNAGAR, BARABANKI",,Local Body,2014,No,Rural,2020,2014,Rural,Local Body,Government,2014
Uttar Pradesh,Sultanpur,State Public University,"Dr. Ram Manohar Lohia  Awadh University, Faizabad (Id: U-0510)","Dr. Ram Manohar Lohia Awadh University, Faizabad",U-0510,"PT. ONKAR NATH MAHAVIDYALAYA, BAKHAT KA PURWA, GAURIGANJ, SULTANPUR (Id: C-42623)","PT. ONKAR NATH MAHAVIDYALAYA, BAKHAT KA PURWA, GAURIGANJ, SULTANPUR",C-42623,Affiliated College,"BAKHAT KA PURWA, BASTIDEI, GAURIGANJ",www.ptonmahavidyalaya.com,Private Un-Aided,2005,No,Rural,2020,2010,Rural,Private Un-Aided,Private,2005
